/muse/elements/alpha_absolute,"([2], 0.8303979635238647, 0.13871735334396362, 0.06926168501377106, 1.3518097400665283)"
/muse/elements/beta_absolute,"([3], 0.9793060421943665, 0.6034131646156311, 0.32698893547058105, 1.4712625741958618)"
/muse/elements/delta_absolute,"([0], 1.1708312034606934, 0.5566182136535645, -0.6422886252403259, 1.510562777519226)"
/muse/elements/theta_absolute,"([1], 0.8366735577583313, 0.25210896134376526, -0.4270584285259247, 1.1905592679977417)"
/muse/elements/gamma_absolute,"([4], 0.6563519835472107, 0.3936435580253601, 0.14250463247299194, 1.355056881904602)"
/muse/elements/alpha_absolute,"([2], 0.8303979635238647, 0.13345648348331451, 0.49658042192459106, 1.3518097400665283)"
/muse/elements/beta_absolute,"([3], 0.9793060421943665, 0.6310701370239258, 0.6665322780609131, 1.4712625741958618)"
/muse/elements/delta_absolute,"([0], 1.1708312034606934, 0.6482030153274536, 0.43447884917259216, 1.510562777519226)"
/muse/elements/theta_absolute,"([1], 0.8366735577583313, 0.33702945709228516, 0.02143513783812523, 1.1905592679977417)"
/muse/elements/gamma_absolute,"([4], 0.6563519835472107, 0.4226134419441223, 0.39384639263153076, 1.355056881904602)"
/muse/elements/alpha_absolute,"([2], 0.8303979635238647, 0.13345648348331451, 0.5007726550102234, 1.3518097400665283)"
/muse/elements/beta_absolute,"([3], 0.9793060421943665, 0.6310701370239258, 0.6588954925537109, 1.4712625741958618)"
/muse/elements/delta_absolute,"([0], 1.1708312034606934, 0.6482030153274536, 0.40412724018096924, 1.510562777519226)"
/muse/elements/theta_absolute,"([1], 0.8366735577583313, 0.33702945709228516, 0.046417154371738434, 1.1905592679977417)"
/muse/elements/gamma_absolute,"([4], 0.6563519835472107, 0.4226134419441223, 0.38781601190567017, 1.355056881904602)"
/muse/elements/alpha_absolute,"([2], 0.8303979635238647, 0.13345648348331451, 0.5007726550102234, 1.3518097400665283)"
/muse/elements/beta_absolute,"([3], 0.9793060421943665, 0.6310701370239258, 0.6471603512763977, 1.4712625741958618)"
/muse/elements/delta_absolute,"([0], 1.1708312034606934, 0.6482030153274536, 0.41589102149009705, 1.510562777519226)"
/muse/elements/theta_absolute,"([1], 0.8366735577583313, 0.33702945709228516, 0.0828399807214737, 1.1905592679977417)"
/muse/elements/gamma_absolute,"([4], 0.6563519835472107, 0.4226134419441223, 0.37501174211502075, 1.355056881904602)"
/muse/elements/alpha_absolute,"([2], 0.8303979635238647, 0.13345648348331451, 0.5039423704147339, 1.3518097400665283)"
/muse/elements/beta_absolute,"([3], 0.9793060421943665, 0.6310701370239258, 0.6394885182380676, 1.4712625741958618)"
/muse/elements/delta_absolute,"([0], 1.1708312034606934, 0.6482030153274536, 0.4854985773563385, 1.510562777519226)"
/muse/elements/theta_absolute,"([1], 0.8366735577583313, 0.33702945709228516, 0.12199918180704117, 1.1905592679977417)"
/muse/elements/gamma_absolute,"([4], 0.6563519835472107, 0.4226134419441223, 0.32168978452682495, 1.355056881904602)"
/muse/elements/alpha_absolute,"([2], 0.8303979635238647, 0.13345648348331451, 0.5426490902900696, 1.3518097400665283)"
/muse/elements/beta_absolute,"([3], 0.9793060421943665, 0.6310701370239258, 0.6390036940574646, 1.4712625741958618)"
/muse/elements/delta_absolute,"([0], 1.1708312034606934, 0.6482030153274536, 0.5073741674423218, 1.510562777519226)"
/muse/elements/theta_absolute,"([1], 0.8366735577583313, 0.33702945709228516, 0.1435476690530777, 1.1905592679977417)"
/muse/elements/gamma_absolute,"([4], 0.6563519835472107, 0.4226134419441223, 0.30898937582969666, 1.355056881904602)"
/muse/elements/alpha_absolute,"([2], 0.8303979635238647, 0.13345648348331451, 0.5865639448165894, 1.3518097400665283)"
/muse/elements/beta_absolute,"([3], 0.9793060421943665, 0.6310701370239258, 0.6355754733085632, 1.4712625741958618)"
/muse/elements/delta_absolute,"([0], 1.1708312034606934, 0.6482030153274536, 0.5244436264038086, 1.510562777519226)"
/muse/elements/theta_absolute,"([1], 0.8366735577583313, 0.33702945709228516, 0.18757066130638123, 1.1905592679977417)"
/muse/elements/gamma_absolute,"([4], 0.6563519835472107, 0.4226134419441223, 0.3007132411003113, 1.355056881904602)"
/muse/elements/alpha_absolute,"([2], 0.8303979635238647, 0.48640522360801697, 0.5544391870498657, 1.3518097400665283)"
/muse/elements/beta_absolute,"([3], 0.9793060421943665, 0.9802454113960266, 0.5482146739959717, 1.4712625741958618)"
/muse/elements/delta_absolute,"([0], 1.1708312034606934, 0.8675855398178101, 0.8551477193832397, 1.510562777519226)"
/muse/elements/theta_absolute,"([1], 0.8366735577583313, 0.957194983959198, 0.5088155269622803, 1.1905592679977417)"
/muse/elements/gamma_absolute,"([4], 0.6563519835472107, 0.9555634260177612, 0.21062877774238586, 1.355056881904602)"
/muse/elements/alpha_absolute,"([2], 0.8303979635238647, 0.48640522360801697, 0.5517010688781738, 1.3518097400665283)"
/muse/elements/beta_absolute,"([3], 0.9793060421943665, 0.9802454113960266, 0.5422506332397461, 1.4712625741958618)"
/muse/elements/gamma_absolute,"([4], 0.6563519835472107, 0.9555634260177612, 0.18770720064640045, 1.355056881904602)"
/muse/elements/theta_absolute,"([1], 0.8366735577583313, 0.957194983959198, 0.5041930079460144, 1.1905592679977417)"
/muse/elements/delta_absolute,"([0], 1.1708312034606934, 0.8675855398178101, 0.8632166385650635, 1.510562777519226)"
/muse/elements/beta_absolute,"([3], 0.9793060421943665, 1.0181268453598022, 0.536188542842865, 1.4712625741958618)"
